Post Title, Post URL, Facebook Shares 
What did Palestine look like in 1896?, http://hummusforthought.com/2014/02/11/what-did-palestine-look-like-in-1896/, 93961 
•10 Shoes Every Guy should Own•, http://monkyseemonkydo.com/2014/04/01/•10-shoes-every-guy-should-own•/, 52902 
CNN money: Beirut is #1 city in the world to invest, http://glamroz.com/cnn-money-beirut-is-1-best-city-in-the-world-to-invest/, 29884 
Byblos CHRISTMAS tree is chosen among the best by the Wall Street Journal…!!!!!!!!!, http://glamroz.com/byblos-christmas-tree-is-chosen-among-the-best-by-the-wall-street-journal/, 19933 
Julio Iglesias at the opening of Ehdeniyat 2014, http://glamroz.com/julio-iglesias-at-the-opening-of-ehdeniyat-2014/, 15377 
Jounieh Floating Island: Putting Lebanon on the International Map, http://www.nogarlicnoonions.com/jounieh-floating-island-putting-lebanon-on-the-international-map/, 9622 
Lebanon Loses 78000 Books To Terrorism: Tripoli’s Infamous “Al Sa’eh” Library Burned, http://stateofmind13.com/2014/01/04/lebanon-loses-78000-books-to-terrorism-tripolis-infamous-al-saeh-library-burned/, 9496 
George Clooney and Amal Alamuddin’s Wedding Will Take Place in Lebanon, http://stateofmind13.com/2014/05/10/george-clooney-and-amal-alamuddins-wedding-will-take-place-in-lebanon/, 8362 
#StripForJackie Campaign Gains Momentum, http://hummusforthought.com/2014/02/12/stripforjackie-campaign-gains-momentum/, 6698 
We Give the Scottish Independence Referendum the Middle East Expert Treatment, http://www.karlremarks.com/2014/09/we-give-scottish-independence.html, 6447 
“Rose House” opening to the public, http://www.beirutreport.com/2014/11/rose-house-opening-to-the-public.html, 6387 
Unprecedented images of Western people looking just like you and me, http://www.karlremarks.com/2014/03/unprecedented-images-of-western-people.html, 6099 
How Lebanese act at home vs. when They’re Living Abroad, https://brainsforless.wordpress.com/2014/12/02/how-lebanese-act-at-home-vs-when-theyre-living-abroad/, 5555 
A 6$ Manousheh is Taking New York by Storm, http://www.nogarlicnoonions.com/a-6-manousheh-is-taking-new-york-by-storm/, 4969 
When Warlords Become Presidential Candidates, http://moulahazat.com/2014/04/26/when-warlords-become-presidential-candidates/, 4734 
Lebanon’s “Bad” Restaurants: How The Ministry Of Health Messed Up, http://stateofmind13.com/2014/11/11/lebanons-bad-restaurants-how-the-ministry-of-health-messed-up/, 4723 
Sukleen Worker Forced to Kneel Cheek Cut in Dekwene, http://ginosblog.com/2014/10/28/sukleen-worker-forced-to-kneel-cheek-cut-in-dekwene/, 4527 
Joss Stone Beiteddine Festival, http://glamroz.com/joss-stone-beiteddine-festival/, 3754 
Countries Lebanese Can Travel to Without a Visa, http://glamroz.com/countries-lebanese-can-travel-to-without-a-visa/, 3678 
Syrian Refugees in Lebanon: Is Anybody Listening?, http://eyeontheeast.org/2014/05/13/syrian-refugees-in-lebanon-is-anybody-listening/, 3651 
Nicholas Kristof: Why Professors Suck!, http://www.karlremarks.com/2014/02/nicholas-kristof-why-professors-suck.html, 3641 
US bans students from “blacklisted” countries from getting a free education, http://hummusforthought.com/2014/01/29/us-bans-students-from-blacklisted-countries-from-getting-a-free-education/, 3496 
Jacki Chamoun Al Jadeed TV and Minister Karami: The Real Scandal, http://abirghattas.com/al-jadeed-tv-minister-karami-real-scandal/, 3426 
Marrouche Hamra CLOSED, http://ginosblog.com/2014/09/25/marrouche-hamra-closed/, 3404 
Zara Lebanon Ripping Off Customers?, http://stateofmind13.com/2014/06/22/zara-lebanon-ripping-off-customers/, 3284 
Top 10 Lebanese Phobias of all time!, http://blogoftheboss.com/top-10-lebanese-phobias-of-all-time/, 3259 
The Lebanese People Break the Internet #TelhassoTize, http://blogoftheboss.com/the-lebanese-people-break-the-internet-telhassotize/, 3221 
3 Lebanese Women Make it to BBC’s 100 Women List: Who They Are, http://ginosblog.com/2014/10/28/3-lebanese-women-make-it-to-bbcs-100-women-list-who-they-are/, 3192 
How You Saved Simon’s Life, http://stateofmind13.com/2014/05/14/how-you-saved-simons-life/, 3048 
Famous girl leading boyfriend photographer…into the Arab World!?, http://blogoftheboss.com/famous-girl-leading-boyfriend-photographer-into-the-arab-world/, 2903 
