Post Title, Post URL, Twitter Shares 
What did Palestine look like in 1896?, http://hummusforthought.com/2014/02/11/what-did-palestine-look-like-in-1896/, 1808 
We Give the Scottish Independence Referendum the Middle East Expert Treatment, http://www.karlremarks.com/2014/09/we-give-scottish-independence.html, 810 
Lebanon Loses 78000 Books To Terrorism: Tripoli’s Infamous “Al Sa’eh” Library Burned, http://stateofmind13.com/2014/01/04/lebanon-loses-78000-books-to-terrorism-tripolis-infamous-al-saeh-library-burned/, 789 
US bans students from “blacklisted” countries from getting a free education, http://hummusforthought.com/2014/01/29/us-bans-students-from-blacklisted-countries-from-getting-a-free-education/, 657 
Emoji Everywhere , http://en.blog.wordpress.com/2014/11/06/emoji-everywhere/, 558 
"No-name" dead Palestinians, http://www.beirutreport.com/2014/07/no-name-dead-palestinians.html, 470 
Unprecedented images of Western people looking just like you and me, http://www.karlremarks.com/2014/03/unprecedented-images-of-western-people.html, 458 
Egypt launches audacious 'Extreme Tourism' campaign, http://www.karlremarks.com/2014/01/egypt-launches-audacious-extreme.html, 421 
Israeli Viber is spying on you, http://www.ultgate.com/2364/viber-made-in-israel, 413 
2014 Midterm Elections Get Out The Vote!, http://en.blog.wordpress.com/2014/10/27/2014-midterm-vote/, 362 
Just Released: New Blogging U. Ebooks, http://en.blog.wordpress.com/2014/11/10/blogging-writing-ebooks/, 347 
Vote in Today’s US Midterm Elections, http://en.blog.wordpress.com/2014/11/04/us-midterm-elections/, 344 
Longreads’ Best of WordPress Vol. 8, http://en.blog.wordpress.com/2014/11/05/longreads-best-of-wordpress-vol-8/, 338 
Win a Lenovo Vibe Z Smartphone!, http://www.absolutegeeks.com/2014/07/win-a-lenovo-vibe-z-smartphone/, 332 
Why Kuwait’s protests are important, http://dailystar.com.lb/Opinion/Columnist/2014/Jul-05/262700-why-kuwaits-protests-are-important.ashx, 302 
Blogging U.’s Photo 101 Course: Post a Photo a Day, http://en.blog.wordpress.com/2014/10/28/photography-101-course/, 298 
Five Maps And Charts That Explain The White Saviour Complex, http://www.karlremarks.com/2014/05/five-maps-and-charts-that-explain-white.html, 271 
The NaMos are Coming! The NaMos are Coming!, http://en.blog.wordpress.com/2014/10/24/the-namos-are-coming-the-namos-are-coming/, 268 
Longreads’ Best of WordPress Vol. 7, http://en.blog.wordpress.com/2014/10/22/longreads-best-of-wordpress-vol-7/, 266 
The Caliph and His Psychiatrist Exclusive Transcript, http://www.karlremarks.com/2014/07/the-caliph-and-his-psychiatrist.html, 242 
New Themes: Minnow and Cols, http://en.blog.wordpress.com/2014/10/23/minnow-cols/, 229 
New Themes: Editor and Sequential, http://en.blog.wordpress.com/2014/11/06/editor-sequential/, 223 
The Alternative Guide To Lebanon, http://www.karlremarks.com/2014/05/the-alternative-guide-to-lebanon.html, 213 
Help Out Simon Beat Leukemia!, http://stateofmind13.com/2014/05/12/help-out-simon-beat-leukemia/, 212 
A Levantine Dystopia, http://qifanabki.com/2014/01/03/a-levantine-dystopia/, 188 
Al Jadeed News Anchor in Lebanese Army suit, http://blogoftheboss.com/al-jadeed-news-anchor-in-lebanese-army-suit/, 180 
CNN money: Beirut is #1 city in the world to invest, http://glamroz.com/cnn-money-beirut-is-1-best-city-in-the-world-to-invest/, 174 
A short pre-emptive history of the Arab Spring, http://www.karlremarks.com/2014/02/a-short-pre-emptive-history-of-arab.html, 168 
Exhibition of Sisi's child drawings reveals early genius, http://www.karlremarks.com/2014/05/exhibition-of-sisis-child-drawings.html, 161 
Combating voter apathy in the 21st century: Roundtable discussion with Sisi and Assad, http://www.karlremarks.com/2014/05/combating-voter-apathy-in-21st-century.html, 158 
